question_id,question_text,topic,average_score,correct_rate,score_variance,difficulty_label
3475,Determine the fundamental theorem in Genetics with example scenario 3474.,Genetics,6.36,0.87,2.062,Easy
3476,Determine the classification rule in Operating Systems with example scenario 3475.,Operating Systems,5.0,0.686,2.177,Medium
3477,Compare the optimization technique in Machine Learning with example scenario 3476.,Machine Learning,1.22,0.13,0.806,Hard
3478,Explain the probability distribution in Microeconomics with example scenario 3477.,Microeconomics,6.57,0.767,1.444,Easy
3479,Evaluate the classification rule in Electromagnetism with example scenario 3478.,Electromagnetism,5.28,0.709,1.074,Medium
3480,Compute the key assumption in Databases with example scenario 3479.,Databases,1.92,0.245,1.189,Hard
3481,Derive the key assumption in Statistics with example scenario 3480.,Statistics,8.04,0.889,2.206,Easy
3482,Illustrate the regression model in Electromagnetism with example scenario 3481.,Electromagnetism,5.17,0.731,1.932,Medium
3483,Derive the data normalization in Genetics with example scenario 3482.,Genetics,1.86,0.214,1.452,Hard
3484,Prove the regression model in Linear Algebra with example scenario 3483.,Linear Algebra,8.46,0.949,2.405,Easy
3485,Prove the classification rule in Physics with example scenario 3484.,Physics,6.57,0.684,2.129,Medium
3486,Compare the regression model in Statistics with example scenario 3485.,Statistics,1.63,0.233,1.241,Hard
3487,Compute the probability distribution in Discrete Mathematics with example scenario 3486.,Discrete Mathematics,6.1,0.754,1.51,Easy
3488,Identify the fundamental theorem in Linear Algebra with example scenario 3487.,Linear Algebra,5.73,0.579,2.323,Medium
3489,Evaluate the space complexity in Machine Learning with example scenario 3488.,Machine Learning,1.1,0.147,1.348,Hard
3490,Determine the data normalization in Biology with example scenario 3489.,Biology,7.56,0.822,1.548,Easy
3491,Derive the regression model in Algebra with example scenario 3490.,Algebra,5.6,0.595,2.112,Medium
3492,Prove the key assumption in Machine Learning with example scenario 3491.,Machine Learning,1.22,0.138,1.371,Hard
3493,Compare the logical equivalence in Discrete Mathematics with example scenario 3492.,Discrete Mathematics,5.02,0.809,1.474,Easy
3494,Identify the primary formula in Databases with example scenario 3493.,Databases,3.65,0.521,1.889,Medium
3495,Illustrate the fundamental theorem in Networks with example scenario 3494.,Networks,2.25,0.323,0.599,Hard
3496,Explain the main application in Microeconomics with example scenario 3495.,Microeconomics,5.56,0.92,2.374,Easy
3497,Prove the space complexity in Biology with example scenario 3496.,Biology,4.47,0.613,0.993,Medium
3498,Illustrate the space complexity in Macroeconomics with example scenario 3497.,Macroeconomics,0.72,0.103,0.775,Hard
3499,Compare the key assumption in Databases with example scenario 3498.,Databases,5.81,0.872,1.557,Easy
3500,Analyze the time complexity in Databases with example scenario 3499.,Databases,4.32,0.601,0.57,Medium
3501,Compute the probability distribution in Databases with example scenario 3500.,Databases,0.68,0.111,1.978,Hard
3502,Prove the space complexity in Chemistry with example scenario 3501.,Chemistry,7.48,0.814,1.363,Easy
3503,Determine the core principle in Linear Algebra with example scenario 3502.,Linear Algebra,4.46,0.554,1.926,Medium
3504,Analyze the logical equivalence in Computer Science with example scenario 3503.,Computer Science,1.16,0.179,1.612,Hard
3505,Evaluate the fundamental theorem in Genetics with example scenario 3504.,Genetics,6.33,0.815,1.794,Easy
3506,Derive the fundamental theorem in Macroeconomics with example scenario 3505.,Macroeconomics,4.82,0.568,1.588,Medium
3507,Compute the core principle in Computer Science with example scenario 3506.,Computer Science,2.78,0.315,1.568,Hard
3508,Determine the key assumption in Databases with example scenario 3507.,Databases,8.41,0.886,1.365,Easy
3509,Determine the logical equivalence in Logic with example scenario 3508.,Logic,4.89,0.54,1.665,Medium
3510,Analyze the probability distribution in Electromagnetism with example scenario 3509.,Electromagnetism,1.16,0.121,0.562,Hard
3511,Prove the time complexity in Calculus with example scenario 3510.,Calculus,8.13,0.9,2.406,Easy
3512,Evaluate the standard method in Algebra with example scenario 3511.,Algebra,3.51,0.418,1.356,Medium
3513,Compare the main application in Discrete Mathematics with example scenario 3512.,Discrete Mathematics,1.25,0.196,1.625,Hard
3514,Evaluate the time complexity in Chemistry with example scenario 3513.,Chemistry,5.43,0.846,1.725,Easy
3515,Derive the data normalization in Discrete Mathematics with example scenario 3514.,Discrete Mathematics,5.9,0.651,2.311,Medium
3516,Compare the classification rule in Physics with example scenario 3515.,Physics,2.15,0.219,2.231,Hard
3517,Evaluate the classification rule in Statistics with example scenario 3516.,Statistics,5.37,0.809,1.371,Easy
3518,Determine the optimization technique in Statistics with example scenario 3517.,Statistics,4.46,0.537,1.667,Medium
3519,Evaluate the space complexity in Thermodynamics with example scenario 3518.,Thermodynamics,2.55,0.317,0.71,Hard
3520,Determine the space complexity in Microeconomics with example scenario 3519.,Microeconomics,6.67,0.922,2.443,Easy
3521,Identify the data normalization in Statistics with example scenario 3520.,Statistics,4.33,0.44,0.682,Medium
3522,Determine the key assumption in Linear Algebra with example scenario 3521.,Linear Algebra,1.03,0.167,1.91,Hard
3523,Evaluate the probability distribution in Algebra with example scenario 3522.,Algebra,7.12,0.92,2.357,Easy
3524,Compare the space complexity in Physics with example scenario 3523.,Physics,5.12,0.601,2.191,Medium
3525,Identify the standard method in Logic with example scenario 3524.,Logic,1.38,0.186,2.312,Hard
3526,Derive the probability distribution in Microeconomics with example scenario 3525.,Microeconomics,9.21,0.93,2.304,Easy
3527,Illustrate the fundamental theorem in Linear Algebra with example scenario 3526.,Linear Algebra,4.12,0.443,1.32,Medium
3528,Determine the logical equivalence in Physics with example scenario 3527.,Physics,3.05,0.387,1.608,Hard
3529,Prove the data normalization in Linear Algebra with example scenario 3528.,Linear Algebra,6.24,0.856,0.65,Easy
3530,Compare the space complexity in Operating Systems with example scenario 3529.,Operating Systems,6.49,0.705,0.779,Medium
3531,Compare the key assumption in Computer Science with example scenario 3530.,Computer Science,2.76,0.325,1.318,Hard
3532,Illustrate the data normalization in Computer Science with example scenario 3531.,Computer Science,7.56,0.801,1.9,Easy
3533,Derive the optimization technique in Discrete Mathematics with example scenario 3532.,Discrete Mathematics,4.94,0.586,0.682,Medium
3534,Illustrate the core principle in Computer Science with example scenario 3533.,Computer Science,1.61,0.237,0.917,Hard
3535,Explain the key assumption in Databases with example scenario 3534.,Databases,8.51,0.882,1.308,Easy
3536,Determine the logical equivalence in Computer Science with example scenario 3535.,Computer Science,4.05,0.471,2.242,Medium
3537,Determine the logical equivalence in Genetics with example scenario 3536.,Genetics,3.0,0.317,1.573,Hard
3538,Compute the probability distribution in Physics with example scenario 3537.,Physics,5.9,0.9,1.197,Easy
3539,Identify the core principle in Discrete Mathematics with example scenario 3538.,Discrete Mathematics,4.28,0.532,2.358,Medium
3540,Analyze the regression model in Machine Learning with example scenario 3539.,Machine Learning,2.31,0.354,0.846,Hard
3541,Identify the regression model in Chemistry with example scenario 3540.,Chemistry,5.89,0.822,1.73,Easy
3542,Compare the probability distribution in Networks with example scenario 3541.,Networks,6.96,0.707,1.807,Medium
3543,Determine the key assumption in Computer Science with example scenario 3542.,Computer Science,2.78,0.343,0.917,Hard
3544,Explain the probability distribution in Electromagnetism with example scenario 3543.,Electromagnetism,7.03,0.855,1.985,Easy
3545,Analyze the logical equivalence in Algebra with example scenario 3544.,Algebra,3.55,0.475,1.228,Medium
3546,Compare the standard method in Linear Algebra with example scenario 3545.,Linear Algebra,2.94,0.378,2.01,Hard
3547,Compute the optimization technique in Databases with example scenario 3546.,Databases,6.36,0.9,1.644,Easy
3548,Explain the primary formula in Calculus with example scenario 3547.,Calculus,5.56,0.704,2.39,Medium
3549,Evaluate the standard method in Chemistry with example scenario 3548.,Chemistry,1.02,0.162,2.283,Hard
3550,Derive the probability distribution in Linear Algebra with example scenario 3549.,Linear Algebra,9.17,0.92,1.859,Easy
3551,Analyze the time complexity in Physics with example scenario 3550.,Physics,6.68,0.718,2.189,Medium
3552,Derive the main application in Logic with example scenario 3551.,Logic,2.0,0.265,2.369,Hard
3553,Determine the classification rule in Thermodynamics with example scenario 3552.,Thermodynamics,6.82,0.836,1.392,Easy
3554,Evaluate the classification rule in Computer Science with example scenario 3553.,Computer Science,4.67,0.592,0.596,Medium
3555,Illustrate the core principle in Algebra with example scenario 3554.,Algebra,2.77,0.356,1.678,Hard
3556,Determine the core principle in Computer Science with example scenario 3555.,Computer Science,4.68,0.778,0.991,Easy
3557,Compare the main application in Genetics with example scenario 3556.,Genetics,4.09,0.64,2.318,Medium
3558,Explain the logical equivalence in Physics with example scenario 3557.,Physics,1.1,0.162,0.863,Hard
3559,Evaluate the probability distribution in Data Structures with example scenario 3558.,Data Structures,6.84,0.753,2.25,Easy
3560,Evaluate the key assumption in Machine Learning with example scenario 3559.,Machine Learning,4.11,0.609,1.071,Medium
3561,Identify the key assumption in Calculus with example scenario 3560.,Calculus,2.34,0.238,0.995,Hard
3562,Explain the classification rule in Linear Algebra with example scenario 3561.,Linear Algebra,6.95,0.896,1.096,Easy
3563,Analyze the optimization technique in Electromagnetism with example scenario 3562.,Electromagnetism,3.49,0.555,2.097,Medium
3564,Derive the fundamental theorem in Operating Systems with example scenario 3563.,Operating Systems,1.52,0.171,0.637,Hard
3565,Explain the fundamental theorem in Macroeconomics with example scenario 3564.,Macroeconomics,6.37,0.941,2.265,Easy
3566,Compute the key assumption in Databases with example scenario 3565.,Databases,6.66,0.675,1.456,Medium
3567,Compute the key assumption in Machine Learning with example scenario 3566.,Machine Learning,2.33,0.311,0.869,Hard
3568,Explain the optimization technique in Physics with example scenario 3567.,Physics,5.59,0.839,2.464,Easy
3569,Explain the standard method in Algebra with example scenario 3568.,Algebra,3.62,0.433,1.753,Medium
3570,Analyze the key assumption in Statistics with example scenario 3569.,Statistics,2.21,0.256,0.732,Hard
3571,Evaluate the data normalization in Chemistry with example scenario 3570.,Chemistry,6.16,0.861,2.38,Easy
3572,Explain the optimization technique in Computer Science with example scenario 3571.,Computer Science,6.52,0.659,0.575,Medium
3573,Analyze the classification rule in Electromagnetism with example scenario 3572.,Electromagnetism,1.24,0.183,0.522,Hard
3574,Prove the time complexity in Networks with example scenario 3573.,Networks,6.95,0.798,0.962,Easy
3575,Illustrate the key assumption in Statistics with example scenario 3574.,Statistics,5.47,0.573,1.888,Medium
3576,Compare the optimization technique in Genetics with example scenario 3575.,Genetics,1.6,0.214,1.411,Hard
3577,Compute the key assumption in Chemistry with example scenario 3576.,Chemistry,6.7,0.785,1.228,Easy
3578,Prove the standard method in Chemistry with example scenario 3577.,Chemistry,6.23,0.69,1.721,Medium
3579,Explain the optimization technique in Computer Science with example scenario 3578.,Computer Science,1.41,0.206,2.052,Hard
3580,Explain the optimization technique in Networks with example scenario 3579.,Networks,5.84,0.847,0.89,Easy
3581,Derive the key assumption in Statistics with example scenario 3580.,Statistics,4.15,0.456,0.958,Medium
3582,Determine the logical equivalence in Physics with example scenario 3581.,Physics,1.97,0.253,1.659,Hard
3583,Prove the fundamental theorem in Macroeconomics with example scenario 3582.,Macroeconomics,8.76,0.925,1.402,Easy
3584,Compute the optimization technique in Physics with example scenario 3583.,Physics,3.12,0.405,1.712,Medium
3585,Illustrate the probability distribution in Operating Systems with example scenario 3584.,Operating Systems,2.25,0.262,0.808,Hard
3586,Identify the regression model in Chemistry with example scenario 3585.,Chemistry,5.92,0.879,2.001,Easy
3587,Evaluate the primary formula in Microeconomics with example scenario 3586.,Microeconomics,4.55,0.515,0.596,Medium
3588,Illustrate the standard method in Chemistry with example scenario 3587.,Chemistry,1.92,0.218,0.954,Hard
3589,Evaluate the standard method in Databases with example scenario 3588.,Databases,7.75,0.909,1.675,Easy
3590,Prove the classification rule in Computer Science with example scenario 3589.,Computer Science,4.12,0.52,1.695,Medium
3591,Analyze the standard method in Thermodynamics with example scenario 3590.,Thermodynamics,2.08,0.237,1.367,Hard
3592,Illustrate the space complexity in Algebra with example scenario 3591.,Algebra,5.42,0.79,0.512,Easy
3593,Compare the time complexity in Linear Algebra with example scenario 3592.,Linear Algebra,4.52,0.502,2.088,Medium
3594,Identify the space complexity in Logic with example scenario 3593.,Logic,1.56,0.159,1.505,Hard
3595,Compute the fundamental theorem in Algebra with example scenario 3594.,Algebra,8.24,0.933,1.945,Easy
3596,Analyze the primary formula in Macroeconomics with example scenario 3595.,Macroeconomics,2.95,0.429,0.518,Medium
3597,Compare the regression model in Logic with example scenario 3596.,Logic,2.27,0.308,2.073,Hard
3598,Illustrate the core principle in Logic with example scenario 3597.,Logic,7.59,0.818,0.761,Easy
3599,Evaluate the standard method in Calculus with example scenario 3598.,Calculus,3.38,0.459,1.317,Medium
3600,Determine the key assumption in Thermodynamics with example scenario 3599.,Thermodynamics,1.82,0.201,0.694,Hard
3601,Compare the key assumption in Biology with example scenario 3600.,Biology,7.67,0.82,0.634,Easy
3602,Compute the data normalization in Calculus with example scenario 3601.,Calculus,7.16,0.72,0.677,Medium
3603,Derive the data normalization in Macroeconomics with example scenario 3602.,Macroeconomics,1.38,0.184,2.053,Hard
3604,Evaluate the primary formula in Networks with example scenario 3603.,Networks,7.45,0.869,2.015,Easy
3605,Explain the time complexity in Networks with example scenario 3604.,Networks,4.11,0.44,1.911,Medium
3606,Determine the regression model in Discrete Mathematics with example scenario 3605.,Discrete Mathematics,2.55,0.267,1.901,Hard
3607,Compute the classification rule in Algebra with example scenario 3606.,Algebra,6.1,0.79,1.488,Easy
3608,Prove the key assumption in Networks with example scenario 3607.,Networks,4.11,0.419,0.757,Medium
3609,Identify the fundamental theorem in Statistics with example scenario 3608.,Statistics,2.42,0.302,0.551,Hard
3610,Compute the space complexity in Logic with example scenario 3609.,Logic,8.8,0.935,1.549,Easy
3611,Identify the standard method in Databases with example scenario 3610.,Databases,3.1,0.478,1.227,Medium
3612,Derive the logical equivalence in Computer Science with example scenario 3611.,Computer Science,1.4,0.174,2.433,Hard
3613,Analyze the classification rule in Algebra with example scenario 3612.,Algebra,8.27,0.865,1.802,Easy
3614,Analyze the key assumption in Thermodynamics with example scenario 3613.,Thermodynamics,5.29,0.562,1.443,Medium
3615,Evaluate the key assumption in Calculus with example scenario 3614.,Calculus,2.52,0.352,0.758,Hard
3616,Analyze the main application in Biology with example scenario 3615.,Biology,7.69,0.921,2.278,Easy
3617,Identify the classification rule in Microeconomics with example scenario 3616.,Microeconomics,4.47,0.719,1.502,Medium
3618,Compute the time complexity in Statistics with example scenario 3617.,Statistics,1.78,0.209,2.087,Hard
3619,Compare the data normalization in Physics with example scenario 3618.,Physics,6.63,0.806,1.917,Easy
3620,Determine the main application in Linear Algebra with example scenario 3619.,Linear Algebra,4.13,0.446,1.712,Medium
3621,Compute the optimization technique in Statistics with example scenario 3620.,Statistics,2.76,0.375,0.716,Hard
3622,Illustrate the key assumption in Computer Science with example scenario 3621.,Computer Science,5.4,0.851,2.439,Easy
3623,Determine the space complexity in Operating Systems with example scenario 3622.,Operating Systems,3.72,0.413,1.55,Medium
3624,Compute the primary formula in Linear Algebra with example scenario 3623.,Linear Algebra,1.3,0.207,1.744,Hard
3625,Analyze the standard method in Thermodynamics with example scenario 3624.,Thermodynamics,6.18,0.867,2.32,Easy
3626,Compare the main application in Databases with example scenario 3625.,Databases,3.92,0.503,1.588,Medium
3627,Derive the optimization technique in Thermodynamics with example scenario 3626.,Thermodynamics,1.25,0.129,1.249,Hard
3628,Illustrate the data normalization in Electromagnetism with example scenario 3627.,Electromagnetism,5.78,0.766,1.7,Easy
3629,Evaluate the classification rule in Discrete Mathematics with example scenario 3628.,Discrete Mathematics,5.05,0.575,0.611,Medium
3630,Explain the regression model in Thermodynamics with example scenario 3629.,Thermodynamics,1.7,0.183,0.66,Hard
3631,Compare the classification rule in Databases with example scenario 3630.,Databases,5.86,0.921,2.169,Easy
3632,Determine the space complexity in Physics with example scenario 3631.,Physics,4.42,0.523,0.806,Medium
3633,Evaluate the time complexity in Genetics with example scenario 3632.,Genetics,0.82,0.119,0.756,Hard
3634,Determine the optimization technique in Computer Science with example scenario 3633.,Computer Science,6.54,0.812,1.678,Easy
3635,Determine the probability distribution in Linear Algebra with example scenario 3634.,Linear Algebra,5.77,0.669,1.718,Medium
3636,Compare the time complexity in Operating Systems with example scenario 3635.,Operating Systems,1.73,0.219,1.329,Hard
3637,Derive the core principle in Macroeconomics with example scenario 3636.,Macroeconomics,6.35,0.918,0.511,Easy
3638,Evaluate the data normalization in Networks with example scenario 3637.,Networks,4.23,0.621,2.28,Medium
3639,Compute the main application in Thermodynamics with example scenario 3638.,Thermodynamics,2.2,0.349,0.713,Hard
3640,Explain the fundamental theorem in Statistics with example scenario 3639.,Statistics,7.16,0.849,1.05,Easy
3641,Prove the probability distribution in Electromagnetism with example scenario 3640.,Electromagnetism,5.4,0.644,1.15,Medium
3642,Compare the optimization technique in Databases with example scenario 3641.,Databases,0.96,0.107,0.93,Hard
3643,Compare the probability distribution in Machine Learning with example scenario 3642.,Machine Learning,7.04,0.917,1.654,Easy
3644,Illustrate the core principle in Operating Systems with example scenario 3643.,Operating Systems,6.59,0.697,1.243,Medium
3645,Explain the core principle in Discrete Mathematics with example scenario 3644.,Discrete Mathematics,1.47,0.161,1.366,Hard
3646,Illustrate the main application in Databases with example scenario 3645.,Databases,7.58,0.788,0.896,Easy
3647,Compare the primary formula in Statistics with example scenario 3646.,Statistics,2.49,0.409,1.745,Medium
3648,Identify the data normalization in Machine Learning with example scenario 3647.,Machine Learning,2.12,0.292,1.14,Hard
3649,Prove the data normalization in Thermodynamics with example scenario 3648.,Thermodynamics,7.13,0.818,0.616,Easy
3650,Compare the optimization technique in Calculus with example scenario 3649.,Calculus,4.93,0.716,2.499,Medium
3651,Compute the probability distribution in Logic with example scenario 3650.,Logic,1.36,0.15,0.947,Hard
3652,Prove the logical equivalence in Calculus with example scenario 3651.,Calculus,7.28,0.766,2.218,Easy
3653,Evaluate the primary formula in Algebra with example scenario 3652.,Algebra,4.73,0.537,1.614,Medium
3654,Derive the logical equivalence in Macroeconomics with example scenario 3653.,Macroeconomics,2.52,0.347,1.547,Hard
3655,Determine the key assumption in Biology with example scenario 3654.,Biology,6.28,0.847,2.283,Easy
3656,Illustrate the logical equivalence in Macroeconomics with example scenario 3655.,Macroeconomics,3.01,0.456,1.654,Medium
3657,Explain the core principle in Computer Science with example scenario 3656.,Computer Science,1.97,0.291,1.281,Hard
3658,Compare the optimization technique in Physics with example scenario 3657.,Physics,6.56,0.939,1.837,Easy
3659,Analyze the time complexity in Microeconomics with example scenario 3658.,Microeconomics,5.08,0.652,2.375,Medium
3660,Compare the main application in Statistics with example scenario 3659.,Statistics,2.46,0.314,1.639,Hard
3661,Determine the data normalization in Discrete Mathematics with example scenario 3660.,Discrete Mathematics,7.44,0.889,2.257,Easy
3662,Identify the time complexity in Operating Systems with example scenario 3661.,Operating Systems,3.75,0.521,0.928,Medium
3663,Illustrate the primary formula in Databases with example scenario 3662.,Databases,0.69,0.111,2.24,Hard
3664,Analyze the core principle in Discrete Mathematics with example scenario 3663.,Discrete Mathematics,7.66,0.886,1.729,Easy
3665,Prove the classification rule in Microeconomics with example scenario 3664.,Microeconomics,5.46,0.689,2.241,Medium
3666,Determine the data normalization in Biology with example scenario 3665.,Biology,1.98,0.204,1.897,Hard
3667,Compare the data normalization in Statistics with example scenario 3666.,Statistics,6.61,0.801,1.566,Easy
3668,Explain the main application in Operating Systems with example scenario 3667.,Operating Systems,3.74,0.447,1.13,Medium
3669,Explain the core principle in Thermodynamics with example scenario 3668.,Thermodynamics,1.13,0.115,1.783,Hard
3670,Compare the time complexity in Physics with example scenario 3669.,Physics,8.05,0.925,1.214,Easy
3671,Determine the data normalization in Discrete Mathematics with example scenario 3670.,Discrete Mathematics,5.0,0.574,2.421,Medium
3672,Evaluate the main application in Discrete Mathematics with example scenario 3671.,Discrete Mathematics,1.65,0.174,2.348,Hard
3673,Evaluate the data normalization in Machine Learning with example scenario 3672.,Machine Learning,8.6,0.884,1.296,Easy
3674,Compute the probability distribution in Biology with example scenario 3673.,Biology,6.38,0.724,0.584,Medium
3675,Identify the core principle in Computer Science with example scenario 3674.,Computer Science,2.88,0.363,1.421,Hard
3676,Illustrate the classification rule in Linear Algebra with example scenario 3675.,Linear Algebra,5.69,0.863,1.438,Easy
3677,Evaluate the key assumption in Statistics with example scenario 3676.,Statistics,4.14,0.683,1.046,Medium
3678,Evaluate the regression model in Calculus with example scenario 3677.,Calculus,0.77,0.101,1.957,Hard
3679,Determine the classification rule in Statistics with example scenario 3678.,Statistics,8.9,0.91,1.717,Easy
3680,Derive the logical equivalence in Discrete Mathematics with example scenario 3679.,Discrete Mathematics,4.72,0.487,2.051,Medium
3681,Analyze the classification rule in Macroeconomics with example scenario 3680.,Macroeconomics,2.34,0.267,2.349,Hard
3682,Analyze the primary formula in Computer Science with example scenario 3681.,Computer Science,6.67,0.892,1.926,Easy
3683,Compare the core principle in Physics with example scenario 3682.,Physics,3.12,0.414,1.313,Medium
3684,Analyze the standard method in Data Structures with example scenario 3683.,Data Structures,0.9,0.148,0.767,Hard
3685,Illustrate the key assumption in Algebra with example scenario 3684.,Algebra,8.11,0.881,2.476,Easy
3686,Derive the logical equivalence in Thermodynamics with example scenario 3685.,Thermodynamics,4.35,0.518,2.374,Medium
3687,Explain the fundamental theorem in Chemistry with example scenario 3686.,Chemistry,1.31,0.148,2.01,Hard
3688,Explain the logical equivalence in Data Structures with example scenario 3687.,Data Structures,7.25,0.768,2.126,Easy
3689,Explain the core principle in Microeconomics with example scenario 3688.,Microeconomics,2.62,0.411,0.598,Medium
3690,Identify the regression model in Statistics with example scenario 3689.,Statistics,1.58,0.197,1.565,Hard
3691,Compare the space complexity in Algebra with example scenario 3690.,Algebra,7.76,0.804,1.237,Easy
3692,Determine the probability distribution in Electromagnetism with example scenario 3691.,Electromagnetism,2.99,0.415,1.562,Medium
3693,Prove the space complexity in Thermodynamics with example scenario 3692.,Thermodynamics,1.55,0.218,0.763,Hard
3694,Prove the standard method in Discrete Mathematics with example scenario 3693.,Discrete Mathematics,9.13,0.914,1.159,Easy
3695,Prove the classification rule in Networks with example scenario 3694.,Networks,4.49,0.53,1.937,Medium
3696,Prove the logical equivalence in Logic with example scenario 3695.,Logic,2.06,0.214,1.62,Hard
3697,Compare the space complexity in Databases with example scenario 3696.,Databases,7.21,0.84,2.406,Easy
3698,Prove the classification rule in Calculus with example scenario 3697.,Calculus,4.13,0.67,1.165,Medium
3699,Analyze the fundamental theorem in Networks with example scenario 3698.,Networks,1.71,0.236,1.9,Hard
3700,Compare the data normalization in Linear Algebra with example scenario 3699.,Linear Algebra,8.17,0.915,2.479,Easy
3701,Explain the space complexity in Biology with example scenario 3700.,Biology,4.68,0.493,2.033,Medium
3702,Identify the primary formula in Chemistry with example scenario 3701.,Chemistry,1.83,0.205,0.708,Hard
3703,Prove the probability distribution in Logic with example scenario 3702.,Logic,7.38,0.908,1.085,Easy
3704,Derive the time complexity in Macroeconomics with example scenario 3703.,Macroeconomics,5.34,0.623,0.919,Medium
3705,Compute the fundamental theorem in Discrete Mathematics with example scenario 3704.,Discrete Mathematics,0.84,0.109,1.639,Hard
3706,Explain the logical equivalence in Networks with example scenario 3705.,Networks,8.98,0.925,1.558,Easy
3707,Explain the regression model in Machine Learning with example scenario 3706.,Machine Learning,5.09,0.656,1.992,Medium
3708,Derive the key assumption in Networks with example scenario 3707.,Networks,1.19,0.159,1.768,Hard
3709,Derive the optimization technique in Macroeconomics with example scenario 3708.,Macroeconomics,6.7,0.754,2.171,Easy
3710,Analyze the standard method in Macroeconomics with example scenario 3709.,Macroeconomics,4.18,0.536,2.203,Medium
3711,Derive the logical equivalence in Discrete Mathematics with example scenario 3710.,Discrete Mathematics,2.32,0.325,1.148,Hard
3712,Compare the primary formula in Chemistry with example scenario 3711.,Chemistry,7.31,0.886,0.824,Easy
3713,Compute the data normalization in Macroeconomics with example scenario 3712.,Macroeconomics,4.85,0.505,1.876,Medium
3714,Identify the space complexity in Biology with example scenario 3713.,Biology,3.5,0.386,2.384,Hard
3715,Explain the main application in Electromagnetism with example scenario 3714.,Electromagnetism,7.21,0.793,0.54,Easy
3716,Analyze the primary formula in Thermodynamics with example scenario 3715.,Thermodynamics,4.95,0.628,1.194,Medium
3717,Derive the main application in Genetics with example scenario 3716.,Genetics,3.3,0.35,0.545,Hard
3718,Analyze the probability distribution in Linear Algebra with example scenario 3717.,Linear Algebra,6.51,0.872,1.331,Easy
3719,Compute the key assumption in Genetics with example scenario 3718.,Genetics,4.94,0.683,2.386,Medium
3720,Evaluate the regression model in Statistics with example scenario 3719.,Statistics,1.31,0.152,1.844,Hard
3721,Analyze the optimization technique in Physics with example scenario 3720.,Physics,5.84,0.8,2.17,Easy
3722,Evaluate the standard method in Algebra with example scenario 3721.,Algebra,4.82,0.659,1.568,Medium
3723,Determine the key assumption in Databases with example scenario 3722.,Databases,0.81,0.118,1.472,Hard
3724,Derive the logical equivalence in Data Structures with example scenario 3723.,Data Structures,7.19,0.767,1.936,Easy
3725,Evaluate the time complexity in Chemistry with example scenario 3724.,Chemistry,6.33,0.721,2.381,Medium
3726,Analyze the regression model in Thermodynamics with example scenario 3725.,Thermodynamics,2.19,0.261,2.454,Hard
3727,Compute the space complexity in Networks with example scenario 3726.,Networks,5.38,0.878,1.948,Easy
3728,Analyze the logical equivalence in Macroeconomics with example scenario 3727.,Macroeconomics,6.5,0.708,1.668,Medium
3729,Compare the data normalization in Networks with example scenario 3728.,Networks,2.94,0.295,0.681,Hard
3730,Identify the classification rule in Databases with example scenario 3729.,Databases,6.3,0.883,1.78,Easy
3731,Compute the key assumption in Discrete Mathematics with example scenario 3730.,Discrete Mathematics,4.01,0.607,0.913,Medium
3732,Analyze the primary formula in Data Structures with example scenario 3731.,Data Structures,1.82,0.28,1.03,Hard
3733,Analyze the core principle in Physics with example scenario 3732.,Physics,6.7,0.917,1.476,Easy
3734,Illustrate the key assumption in Networks with example scenario 3733.,Networks,4.97,0.72,1.279,Medium
3735,Illustrate the standard method in Chemistry with example scenario 3734.,Chemistry,2.49,0.276,2.303,Hard
3736,Prove the optimization technique in Biology with example scenario 3735.,Biology,8.5,0.933,0.957,Easy
3737,Explain the primary formula in Microeconomics with example scenario 3736.,Microeconomics,3.07,0.408,0.783,Medium
3738,Illustrate the time complexity in Calculus with example scenario 3737.,Calculus,2.65,0.306,0.588,Hard
3739,Compare the optimization technique in Statistics with example scenario 3738.,Statistics,6.41,0.917,1.364,Easy
3740,Prove the regression model in Networks with example scenario 3739.,Networks,4.84,0.627,1.383,Medium
3741,Identify the logical equivalence in Biology with example scenario 3740.,Biology,0.91,0.119,2.03,Hard
3742,Illustrate the key assumption in Macroeconomics with example scenario 3741.,Macroeconomics,7.14,0.933,1.347,Easy
3743,Compare the fundamental theorem in Chemistry with example scenario 3742.,Chemistry,6.24,0.639,1.034,Medium
3744,Derive the standard method in Genetics with example scenario 3743.,Genetics,2.09,0.228,1.719,Hard
3745,Determine the classification rule in Biology with example scenario 3744.,Biology,6.57,0.772,0.873,Easy
3746,Derive the logical equivalence in Logic with example scenario 3745.,Logic,4.65,0.573,2.252,Medium
3747,Evaluate the space complexity in Linear Algebra with example scenario 3746.,Linear Algebra,1.67,0.234,0.962,Hard
3748,Evaluate the data normalization in Operating Systems with example scenario 3747.,Operating Systems,6.18,0.925,1.352,Easy
3749,Illustrate the standard method in Calculus with example scenario 3748.,Calculus,4.22,0.464,1.449,Medium
3750,Identify the data normalization in Operating Systems with example scenario 3749.,Operating Systems,1.5,0.202,2.204,Hard
3751,Determine the classification rule in Chemistry with example scenario 3750.,Chemistry,7.64,0.861,2.294,Easy
3752,Derive the logical equivalence in Microeconomics with example scenario 3751.,Microeconomics,5.17,0.707,2.405,Medium
3753,Derive the primary formula in Statistics with example scenario 3752.,Statistics,0.8,0.107,2.292,Hard
3754,Explain the regression model in Databases with example scenario 3753.,Databases,5.71,0.805,1.105,Easy
